Year,score
2015,  7.5,
2016, 7.5,
2017, 7.566666666666666,
2018, 8.266666666666666,
2019,  8.100000000000001,
2020,  7.966666666666668,
2021,  8.316666666666665,
2022,  9.383333333333333,
