year, SSI
2015,1.25
2016,1.25
2017,1.261111111111111
2018,1.3777777777777775
2019.25,1.3333333333333333
2019.5,1.3333333333333333
2019.75,1.4027777777777777
2020,1.327777777777778
2021.25,1.3194444444444444
2021.5,1.3888888888888888
2021.75,1.4583333333333333
2022.25,1.5416666666666667
2022.5,1.5416666666666667
2022.75,1.6111111111111112
2023.1666666666666666,1.71
