time,SSId
2016.5,0.0111111111
2017.5,0.11666666666
2018.625,-0.0355555
2019.375,0
2019.625,0.27
2019.875,-0.29
2020.625,-0.0066
2021.375,0.2777
2021.625,0.2777
2022,28333
2022.375,0
2022.625,-566666
2022.958333,0.25333
2023.25,0.044705
2023.4166666,0.268627
