Generation,Nice,Bullies
399,199,201, 
400,199,201, 
401,199,201, 
402,199,201, 
403,199,201, 
404,199,201, 
405,199,201, 
406,199,201, 
407,199,201, 
408,199,201, 
409,199,201, 
410,199,201, 
411,199,201, 
412,199,201, 
413,199,201, 
414,199,201, 
415,199,201, 
416,199,201, 
417,199,201, 
418,199,201, 
419,199,201, 
420,199,201, 
421,199,201, 
422,199,201, 
423,199,201, 
424,199,201, 
425,198,201, 
426,198,201, 
427,198,201, 
428,198,201, 
429,198,201, 
430,198,201, 
431,198,201, 
432,198,201, 
433,198,201, 
434,198,201, 
435,198,201, 
436,198,201, 
437,198,201, 
438,197,201, 
439,197,201, 
440,197,201, 
441,197,201, 
442,197,201, 
443,197,201, 
444,197,201, 
445,197,200, 
446,197,200, 
447,197,200, 
448,197,200, 
449,197,200, 
450,197,200, 
451,197,200, 
452,197,200, 
453,197,200, 
454,197,200, 
455,196,200, 
456,196,200, 
457,196,200, 
458,196,200, 
459,196,200, 
460,196,200, 
461,196,200, 
462,196,200, 
463,196,200, 
464,196,200, 
465,196,200, 
466,196,200, 
467,196,200, 
468,196,200, 
469,195,200, 
470,195,200, 
471,195,200, 
472,195,200, 
473,195,200, 
474,195,200, 
475,195,200, 
476,195,200, 
477,195,200, 
478,195,200, 
479,195,200, 
480,195,200, 
481,195,200, 
482,195,200, 
483,195,200, 
484,195,200, 
485,195,200, 
486,195,200, 
487,195,199, 
488,195,199, 
489,195,199, 
490,195,199, 
491,195,199, 
492,195,199, 
493,194,199, 
494,194,199, 
495,194,199, 
496,194,199, 
497,194,199, 
498,194,199, 
499,194,199, 
500,194,199, 
501,194,199, 
502,194,199, 
503,194,199, 
504,194,199, 
505,194,199, 
506,194,199, 
507,194,199, 
508,194,199, 
509,194,199, 
510,194,199, 
511,194,199, 
512,194,199, 
513,194,199, 
514,194,199, 
515,194,199, 
516,194,199, 
517,194,199, 
518,194,199, 
519,194,199, 
520,194,199, 
521,194,198, 
522,194,198, 
523,194,198, 
524,194,198, 
525,194,198, 
526,194,198, 
527,194,198, 
528,194,198, 
529,194,198, 
530,194,198, 
531,194,198, 
532,194,198, 
533,193,198, 
534,193,198, 
535,193,198, 
536,193,198, 
537,193,198, 
538,193,198, 
539,193,198, 
540,193,198, 
541,193,198, 
542,193,198, 
543,193,198, 
544,193,198, 
545,193,197, 
546,193,197, 
547,192,197, 
548,192,197, 
549,192,197, 
550,192,197, 
551,192,197, 
552,192,197, 
553,192,197, 
554,192,197, 
555,192,197, 
556,192,197, 
557,192,197, 
558,192,197, 
559,192,197, 
560,192,197, 
561,192,197, 
562,192,197, 
563,192,197, 
564,192,197, 
565,192,197, 
566,192,197, 
567,192,197, 
568,192,197, 
569,192,197, 
570,192,197, 
571,191,197, 
572,191,197, 
573,191,197, 
574,191,197, 
575,191,197, 
576,191,197, 
577,191,197, 
578,191,197, 
579,191,197, 
580,191,197, 
581,191,197, 
582,191,197, 
583,191,197, 
584,191,197, 
585,191,197, 
586,191,197, 
587,191,197, 
588,191,197, 
589,191,197, 
590,191,197, 
591,191,197, 
592,191,197, 
593,191,197, 
594,191,197, 
595,191,197, 
596,191,196, 
597,191,196, 
598,191,196, 
599,191,196, 
600,191,196, 
601,191,196, 
602,191,196, 
603,191,196, 
604,191,196, 
605,191,196, 
606,191,196, 
607,191,196, 
608,191,196, 
609,191,196, 
610,191,196, 
611,191,196, 
612,191,196, 
613,191,196, 
614,191,196, 
615,191,196, 
616,191,196, 
617,191,196, 
618,191,196, 
619,191,196, 
620,191,196, 
621,191,196, 
622,191,196, 
623,191,196, 
624,191,196, 
625,191,196, 
626,190,196, 
627,190,196, 
628,190,196, 
629,190,196, 
630,190,196, 
631,190,196, 
632,190,196, 
633,190,196, 
634,190,196, 
635,190,196, 
636,190,196, 
637,190,196, 
638,190,196, 
639,190,196, 
640,190,196, 
641,190,196, 
642,190,196, 
643,190,196, 
644,189,196, 
645,189,196, 
646,189,196, 
647,189,196, 
648,189,196, 
649,189,196, 
650,189,196, 
651,188,196, 
652,188,196, 
653,188,196, 
654,188,196, 
655,188,196, 
656,188,195, 
657,188,195, 
658,188,195, 
659,188,195, 
660,188,195, 
661,188,195, 
662,188,195, 
663,188,195, 
664,188,195, 
665,188,195, 
666,188,195, 
667,187,195, 
668,187,195, 
669,187,195, 
670,187,195, 
671,187,195, 
672,187,195, 
673,187,195, 
674,187,195, 
675,187,195, 
676,188,195, 
677,188,195, 
678,188,195, 
679,188,195, 
680,188,195, 
681,188,195, 
682,188,195, 
683,188,195, 
684,188,195, 
685,188,195, 
686,188,195, 
687,188,195, 
688,188,195, 
689,188,195, 
690,188,195, 
691,188,195, 
692,188,195, 
693,188,195, 
694,188,195, 
695,188,195, 
696,188,195, 
697,188,195, 
698,188,195, 
699,188,195, 
700,188,194, 
701,188,194, 
702,188,194, 
703,188,194, 
704,188,194, 
705,188,194, 
706,188,194, 
707,188,194, 
708,188,194, 
709,188,194, 
710,188,194, 
711,188,194, 
712,188,194, 
713,188,194, 
714,188,194, 
715,188,194, 
716,188,194, 
717,188,194, 
718,188,193, 
719,188,193, 
720,188,193, 
721,188,193, 
722,188,193, 
723,188,193, 
724,188,192, 
725,188,192, 
726,188,192, 
727,188,192, 
728,188,192, 
729,188,192, 
730,188,192, 
731,188,192, 
732,188,192, 
733,188,192, 
734,188,192, 
735,188,192, 
736,188,192, 
737,188,192, 
738,188,192, 
739,188,192, 
740,188,192, 
741,188,192, 
742,188,192, 
743,188,192, 
744,188,192, 
745,188,192, 
746,188,192, 
747,188,192, 
748,188,192, 
749,188,192, 
750,188,192, 
751,188,192, 
752,188,192, 
753,187,192, 
754,187,192, 
755,187,192, 
756,187,192, 
757,187,192, 
758,187,192, 
759,187,192, 
760,187,192, 
761,187,192, 
762,187,192, 
763,187,192, 
764,187,192, 
765,186,192, 
766,186,192, 
767,186,192, 
768,185,192, 
769,185,192, 
770,185,192, 
771,185,192, 
772,185,192, 
773,185,192, 
774,185,192, 
775,185,192, 
776,185,192, 
777,185,192, 
778,185,192, 
779,185,192, 
780,185,192, 
781,185,192, 
782,185,192, 
783,185,192, 
784,185,192, 
785,185,192, 
786,185,192, 
787,185,192, 
788,186,192, 
789,185,192, 
790,185,192, 
791,185,192, 
792,185,192, 
793,185,192, 
794,185,192, 
795,185,192, 
796,185,192, 
797,185,192, 
798,185,192, 
799,185,192, 
800,185,192, 
801,185,192, 
802,185,192, 
803,185,192, 
804,185,192, 
805,185,192, 
806,185,192, 
807,185,192, 
808,185,192, 
809,185,192, 
810,185,191, 
811,185,191, 
812,185,191, 
813,185,191, 
814,185,191, 
815,185,191, 
816,185,191, 
817,184,191, 
818,184,191, 
819,184,191, 
820,184,191, 
821,184,191, 
822,184,191, 
823,184,191, 
824,184,191, 
825,183,191, 
826,183,191, 
827,183,191, 
828,183,191, 
829,183,190, 
830,183,190, 
831,182,190, 
832,182,190, 
833,182,190, 
834,182,190, 
835,182,190, 
836,182,190, 
837,182,190, 
838,182,190, 
839,182,190, 
840,182,190, 
841,182,190, 
842,182,190, 
843,182,190, 
844,182,190, 
845,182,190, 
846,182,190, 
847,182,190, 
848,182,190, 
